"source_code","source_vocabulary","frequency","source_concept_class","source_name","validity","standard_code","standard_name","standard_vocabulary","mapping_resource"
"2078830","CNK",1,NA,NA,NA,NA,NA,NA,NA
"20790A.B","MEDIDOC",1,NA,"Glucosidase beta",NA,NA,NA,NA,NA
"2079929","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2080141","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2080372","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2080398","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2080489","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2080505","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2080570","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2081230","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2081594","CNK",1,NA,"Folinate EG 500 mg/50 ml inj. opl. i.v./i.m. flac.",NA,"V03AF03",NA,"ATC(Non-Standard)",NA
"2081602","CNK",1,NA,"Folinate EG 200 mg/20 ml inj. opl. i.v./i.m. flac.",NA,"V03AF03",NA,"ATC(Non-Standard)",NA
"2081636","CNK",1,NA,"Somavert 15 mg inj. opl. (pdr. + oplosm.) s.c. flac. + voorgev. spuit",NA,"H01AX01",NA,"ATC(Non-Standard)",NA
"2081834","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2081990","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2082543","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2082782","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2083012","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2085439","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2086973","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2087047","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2087948","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2089316","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2089332","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2089407","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2090678","CNK",1,NA,"Bondronat 6 mg/6 ml inf. opl. (conc.) i.v. flac.",NA,"M05BA06",NA,"ATC(Non-Standard)",NA
"2090991","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2091767","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2092823","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2095479","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2098713","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2099042","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2099109","CNK",1,NA,NA,NA,NA,NA,NA,NA
"21000A.B","MEDIDOC",1,NA,"Cytosol aminopeptidase",NA,NA,NA,NA,NA
"2100618","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2101939","CNK",1,NA,NA,NA,NA,NA,NA,NA
