"source_code","source_vocabulary","frequency","source_concept_class","source_name","validity","standard_code","standard_name","standard_vocabulary","mapping_resource"
"M86.8","ICD10",203,"ICD10 code","Other osteomyelitis","valid","60168000","Osteomyelitis","SNOMED","cdm_v5_20240830"
"S31.0","ICD10",203,"ICD10 code","Open wound of lower back and pelvis","valid","105615001","Open wound of trunk","SNOMED","cdm_v5_20240830"
"0483875","CNK",202,NA,NA,NA,NA,NA,NA,NA
"0701979","CNK",202,NA,"Bleomycine Sanofi 15000 IE inj. opl. (pdr.) i.perit./i.pleur./s.c./i.arter./i.v./i.tumor./i.m. flac.",NA,"L01DC01",NA,"ATC(Non-Standard)",NA
"0819615","CNK",202,NA,NA,NA,NA,NA,NA,NA
"1223981","CNK",202,NA,NA,NA,NA,NA,NA,NA
"1229533","CNK",202,NA,NA,NA,NA,NA,NA,NA
"1395680","CNK",202,NA,"Morphine Teva 100 mg tabl. geregul. afgifte",NA,"N02AA01",NA,"ATC(Non-Standard)",NA
"1639061","CNK",202,NA,"Glivec 100 mg harde caps.",NA,"L01EA01",NA,"ATC(Non-Standard)",NA
"2336998","CNK",202,NA,NA,NA,NA,NA,NA,NA
"2646925","CNK",202,NA,NA,NA,NA,NA,NA,NA
"2650406","CNK",202,NA,"Cimzia 200 mg inj. opl. s.c. voorgev. spuit",NA,"L04AB05",NA,"ATC(Non-Standard)",NA
"2990810","CNK",202,NA,"Biofenac 100 mg (Impexeco) filmomh. tabl.",NA,"M01AB16",NA,"ATC(Non-Standard)",NA
"3020088","CNK",202,NA,NA,NA,NA,NA,NA,NA
"3188711","CNK",202,NA,"Methylphenidate Retard Mylan 54 mg tabl. verl. afgifte_Methylphenidate Retard  Viatris 54 mg tabl. verl. afgifte",NA,"N06BA04",NA,"ATC(Non-Standard)",NA
"3304383","CNK",202,NA,NA,NA,NA,NA,NA,NA
"3968336","CNK",202,NA,"Pangel 100 mg/g gel",NA,"D10AE01",NA,"ATC(Non-Standard)",NA
"487.8","ICD10",202,NA,NA,NA,NA,NA,NA,NA
"D56.0","ICD10",202,"ICD10 code","Alpha thalassaemia","valid","68913001","Alpha thalassemia","SNOMED","cdm_v5_20240830"
"F33.3","ICD10",202,"ICD10 code","Recurrent depressive disorder, current episode severe with psychotic symptoms","valid","191613003","Recurrent major depressive episodes, severe, with psychosis","SNOMED","cdm_v5_20240830"
"J37.1","ICD10",202,"ICD10 code","Chronic laryngotracheitis","valid","83271005","Chronic laryngotracheitis","SNOMED","cdm_v5_20240830"
"Q60.0","ICD10",202,"ICD10 code","Renal agenesis, unilateral","valid","204942005","Renal agenesis","SNOMED","cdm_v5_20240830"
"0572792","CNK",201,NA,NA,NA,NA,NA,NA,NA
"13575K.U","MEDIDOC",201,NA,"OGTT glucose urine 030'",NA,NA,NA,NA,NA
"2179190","CNK",201,NA,NA,NA,NA,NA,NA,NA
"2234847","CNK",201,NA,"Perindopril Servier 8 mg tabl.",NA,"C09AA04",NA,"ATC(Non-Standard)",NA
"2337988","CNK",201,NA,"Olmetec Plus 20 mg - 12,5 mg filmomh. tabl.",NA,"C09DA08",NA,"ATC(Non-Standard)",NA
"2970176","CNK",201,NA,"Desloratadine Apotex 5 mg filmomh. tabl.",NA,"R06AX27",NA,"ATC(Non-Standard)",NA
"3012192","CNK",201,NA,"Sildenafil Mylan 25 mg filmomh. tabl._Sildenafil Viatris 25 mg filmomh. tabl.",NA,"G04BE03",NA,"ATC(Non-Standard)",NA
"3093366","CNK",201,NA,NA,NA,NA,NA,NA,NA
"3376670","CNK",201,NA,"Pregabaline Eurogenerics 150 mg harde caps.",NA,"N02BF02 ",NA,"ATC(Non-Standard)",NA
"4101689","CNK",201,NA,"Desolina 20 0.15 mg - 0.02 mg filmomh. tabl.",NA,"G03AA09",NA,"ATC(Non-Standard)",NA
"4570164","CNK",201,NA,"Pregabalin AB 75 mg harde caps.",NA,"N02BF02 ",NA,"ATC(Non-Standard)",NA
"63035O.B","MEDIDOC",201,NA,"Vancomycine piek (of na injectie)",NA,"4090-7","Vancomycin peak (serum/plasma) - in mass/volume [mg/L]","LOINC","retam_table_032022"
"63070B..","MEDIDOC",201,NA,"Grampositieve staafjes",NA,NA,NA,NA,NA
"63114U.B","MEDIDOC",201,NA,"Clomipramine",NA,NA,NA,NA,NA
"G83.8","ICD10",201,"ICD10 code","Other specified paralytic syndromes","valid","29426003","Paralytic syndrome","SNOMED","cdm_v5_20240830"
"H11.4","ICD10",201,"ICD10 code","Other conjunctival vascular disorders and cysts","valid","59698003","Disorder of conjunctiva","SNOMED","cdm_v5_20240830"
"H35.7","ICD10",201,"ICD10 code","Separation of retinal layers","valid","42059000","Retinal detachment","SNOMED","cdm_v5_20240830"
"M08.0","ICD10",201,"ICD10 code","Juvenile rheumatoid arthritis","valid","410502007","Juvenile idiopathic arthritis","SNOMED","cdm_v5_20240830"
"M940","ICD10",201,NA,NA,NA,NA,NA,NA,NA
"0103929","CNK",200,NA,NA,NA,NA,NA,NA,NA
"0660795","CNK",200,NA,NA,NA,NA,NA,NA,NA
"0671479","CNK",200,NA,NA,NA,NA,NA,NA,NA
"1153212","CNK",200,NA,NA,NA,NA,NA,NA,NA
"1551944","CNK",200,NA,NA,NA,NA,NA,NA,NA
"1612415","CNK",200,NA,NA,NA,NA,NA,NA,NA
"2065472","CNK",200,NA,NA,NA,NA,NA,NA,NA
"2844009","CNK",200,NA,"Hizentra 200 mg/ml inj. opl. s.c. flac.",NA,"J06BA01",NA,"ATC(Non-Standard)",NA
"2866614","CNK",200,NA,"Quetiapine EG 100 mg filmomh. tabl.",NA,"N05AH04",NA,"ATC(Non-Standard)",NA
"2942852","CNK",200,NA,"Quetibloxus 200 mg tabl. verl. afgifte",NA,"N05AH04",NA,"ATC(Non-Standard)",NA
"3405370","CNK",200,NA,"Tamsulosine EG 0,4 mg (PI Pharma) harde caps. geregul. afgifte",NA,"G04CA02",NA,"ATC(Non-Standard)",NA
"3641511","CNK",200,NA,NA,NA,NA,NA,NA,NA
"44981A.A","MEDIDOC",200,NA,"Oestrogeen en progest. receptoren",NA,NA,NA,NA,NA
"4630364","CNK",200,NA,"Dafalgan Instant Rode Vruchten 500 mg gran. sachet",NA,"N02BE01",NA,"ATC(Non-Standard)",NA
"4710497","CNK",200,NA,NA,NA,NA,NA,NA,NA
"G309F009","ICD10",200,NA,NA,NA,NA,NA,NA,NA
"H90.4","ICD10",200,"ICD10 code","Sensorineural hearing loss, unilateral with unrestricted hearing on the contralateral side","valid","60700002","Sensorineural hearing loss","SNOMED","cdm_v5_20240830"
"I959","ICD10",200,NA,NA,NA,NA,NA,NA,NA
"L94.0","ICD10",200,"ICD10 code","Localized scleroderma [morphea]","valid","201048007","Localized scleroderma","SNOMED","cdm_v5_20240830"
"Z91.4","ICD10",200,"ICD10 code","Personal history of psychological trauma, not elsewhere classified","valid",NA,NA,NA,NA
"0001248","CNK",199,NA,NA,NA,NA,NA,NA,NA
"0053421","CNK",199,NA,NA,NA,NA,NA,NA,NA
"0064618","CNK",199,NA,NA,NA,NA,NA,NA,NA
"0617803","CNK",199,NA,NA,NA,NA,NA,NA,NA
"0867390","CNK",199,NA,NA,NA,NA,NA,NA,NA
"19980A.B","MEDIDOC",199,NA,"Perzik Ag f95",NA,"6205-9","Peach IgE (serum) - [kU/L]","LOINC","retam_table_032022"
"2173987","CNK",199,NA,"Nootropil 2400 mg opl. (gran.) zakje",NA,"N06BX03",NA,"ATC(Non-Standard)",NA
"2342285","CNK",199,NA,NA,NA,NA,NA,NA,NA
"2371797","CNK",199,NA,"Simvastatine EG 40 mg filmomh. tabl.",NA,"C10AA01",NA,"ATC(Non-Standard)",NA
"2450690","CNK",199,NA,NA,NA,NA,NA,NA,NA
"2727196","CNK",199,NA,"Metoject 50 mg/ml inj. opl. s.c. voorgev. spuit",NA,"L04AX03",NA,"ATC(Non-Standard)",NA
"2886398","CNK",199,NA,NA,NA,NA,NA,NA,NA
"3187309","CNK",199,NA,"Antistax Forte filmomh. tabl.",NA,"C05CX",NA,"ATC(Non-Standard)",NA
"3267556","CNK",199,NA,"Duspatalin Retard 200 mg (PI Pharma) harde caps. verl. afgifte",NA,"A03AA04",NA,"ATC(Non-Standard)",NA
"3520350","CNK",199,NA,"Omeprazol Sandoz 40 mg (PI Pharma) harde caps.",NA,"A02BC01",NA,"ATC(Non-Standard)",NA
"3562303","CNK",199,NA,"Drosana 30 0,03 mg - 3 mg filmomh. tabl.",NA,"G03AA12",NA,"ATC(Non-Standard)",NA
"3570983","CNK",199,NA,NA,NA,NA,NA,NA,NA
"3872132","CNK",199,NA,"Solifenacine Mylan 10 mg filmomh. tabl._Solifenacine Viatris 10 mg filmomh. tabl.",NA,"G04BD08",NA,"ATC(Non-Standard)",NA
"4436473","CNK",199,NA,NA,NA,NA,NA,NA,NA
"58900A.A","MEDIDOC",199,NA,"VIROCYTEN",NA,NA,NA,NA,NA
"63200H.B","MEDIDOC",199,NA,"Howell Jolly lichaampjes (kern)",NA,"7793-3","Erythrocytes, Howell-Jolly bodies (Blood) - presence - light microscopy","LOINC","retam_table_032022"
"D17.1","ICD10",199,"ICD10 code","Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk","valid","109350007","Lipoma of skin and subcutaneous tissue of trunk","SNOMED","cdm_v5_20240830"
"G43.2","ICD10",199,"ICD10 code","Status migrainosus","valid","230467008","Status migrainosus","SNOMED","cdm_v5_20240830"
"K04.6","ICD10",199,"ICD10 code","Periapical abscess with sinus","valid","74598008","Periapical abscess with sinus tract","SNOMED","cdm_v5_20240830"
"R46.5","ICD10",199,"ICD10 code","Suspiciousness and marked evasiveness","valid","274651006","Suspiciousness and marked evasiveness","SNOMED","cdm_v5_20240830"
"Z59.8","ICD10",199,"ICD10 code","Other problems related to housing and economic circumstances","valid","271437004","Problem situation relating to social and personal history","SNOMED","cdm_v5_20240830"
"Z95.4","ICD10",199,"ICD10 code","Presence of other heart-valve replacement","valid","739026008","Transplanted heart valve present","SNOMED","cdm_v5_20240830"
"0015727","CNK",198,NA,NA,NA,NA,NA,NA,NA
"0039669","CNK",198,NA,NA,NA,NA,NA,NA,NA
"0106724","CNK",198,NA,NA,NA,NA,NA,NA,NA
"0664003","CNK",198,NA,NA,NA,NA,NA,NA,NA
"0859595","CNK",198,NA,"Braunol 10 % gel",NA,"G01AX11",NA,"ATC(Non-Standard)",NA
"1502046","CNK",198,NA,NA,NA,NA,NA,NA,NA
"1754217","CNK",198,NA,NA,NA,NA,NA,NA,NA
"2201424","CNK",198,NA,"Mirtazapine Viatris 30 mg filmomh. tabl._Mirtazapine Mylan 30 mg filmomh. tabl.",NA,"N06AX11",NA,"ATC(Non-Standard)",NA
"2605541","CNK",198,NA,"EllaOne 30 mg tabl.",NA,"G03AD02",NA,"ATC(Non-Standard)",NA
"3023447","CNK",198,NA,"Telmisartan Sandoz 40 mg tabl.",NA,"C09CA07",NA,"ATC(Non-Standard)",NA
"3118536","CNK",198,NA,"Rivastigmin Sandoz 9,5 mg/24 h transderm. pleister zakje_Rivastigmin Sandoz 9.5 mg/24 h transderm. pleister sachet",NA,"N06DA03",NA,"ATC(Non-Standard)",NA
"3274842","CNK",198,NA,NA,NA,NA,NA,NA,NA
"3502515","CNK",198,NA,"Amlodipine Besilate EG 10 mg (PI Pharma) tabl.",NA,"C08CA01",NA,"ATC(Non-Standard)",NA
"63034T.B","MEDIDOC",198,NA,"Rifampicine",NA,NA,NA,NA,NA
"63035E.B","MEDIDOC",198,NA,"Gentamicine dal (of voor injectie)",NA,"3665-7","Gentamicin (serum/plasma) - trough [mg/L]","LOINC","retam_table_032022"
"C95.9","ICD10",198,"ICD10 code","Leukaemia, unspecified","valid","93143009","Leukemia","SNOMED","cdm_v5_20240830"
"E75.5","ICD10",198,"ICD10 code","Other lipid storage disorders","valid","10741005","Lipid storage disease","SNOMED","cdm_v5_20240830"
"G90.2","ICD10",198,"ICD10 code","Horner syndrome","valid","1281810006","Horner syndrome","SNOMED","cdm_v5_20240830"
"I31.3","ICD10",198,"ICD10 code","Pericardial effusion (noninflammatory)","valid","194970009","Pericardial effusion - noninflammatory","SNOMED","cdm_v5_20240830"
"M353","ICD10",198,NA,NA,NA,NA,NA,NA,NA
"S72.90","ICD10",198,"ICD10 code","Fracture of femur, part unspecified, closed","valid","25415003","Closed fracture of femur","SNOMED","cdm_v5_20240830"
"Z24.1","ICD10",198,"ICD10 code","Need for immunization against arthropod-borne viral encephalitis","valid","789023001","Requires vaccination against arthropod-borne viral encephalitis","SNOMED","cdm_v5_20240830"
"0018622","CNK",197,NA,NA,NA,NA,NA,NA,NA
"0850156","CNK",197,NA,"Vasocedine Naphazoline 0.1 % neusspray opl. spuitbus_Vasocedine Naphazoline 0,10 % neusspray opl. spuitbus",NA,"R01AA",NA,"ATC(Non-Standard)",NA
"1540442","CNK",197,NA,NA,NA,NA,NA,NA,NA
"1624584","CNK",197,NA,NA,NA,NA,NA,NA,NA
"2169555","CNK",197,NA,NA,NA,NA,NA,NA,NA
"2396836","CNK",197,NA,NA,NA,NA,NA,NA,NA
"2474674","CNK",197,NA,NA,NA,NA,NA,NA,NA
"2766921","CNK",197,NA,"Lamotrigin Sandoz 200 mg disp. tabl.",NA,"N03AX09",NA,"ATC(Non-Standard)",NA
"3041274","CNK",197,NA,"Forxiga 5 mg filmomh. tabl.",NA,"A10BK01",NA,"ATC(Non-Standard)",NA
"3074895","CNK",197,NA,NA,NA,NA,NA,NA,NA
"58721F.U","MEDIDOC",197,NA,"3-methoxytyramine urine",NA,NA,NA,NA,NA
"8034555","CNK",197,NA,NA,NA,NA,NA,NA,NA
"D01.0","ICD10",197,"ICD10 code","Carcinoma in situ: Colon","valid","92568009","Carcinoma in situ of colon","SNOMED","cdm_v5_20240830"
"0101071","CNK",196,NA,NA,NA,NA,NA,NA,NA
"1063809","CNK",196,NA,"Nestosyl zalf_Nestosyl 10 mg/g - 10 mg/g - 100 mg/g zalf",NA,"D04AB",NA,"ATC(Non-Standard)",NA
"2095354","CNK",196,NA,"Captopril Sandoz 100 mg tabl.",NA,"C09AA01",NA,"ATC(Non-Standard)",NA
"2388585","CNK",196,NA,"Exforge 5 mg - 160 mg filmomh. tabl.",NA,"C09DB01",NA,"ATC(Non-Standard)",NA
"2435063","CNK",196,NA,NA,NA,NA,NA,NA,NA
"2612307","CNK",196,NA,"Cetirizine Mylan 10 mg filmomh. tabl.",NA,"R06AE07",NA,"ATC(Non-Standard)",NA
"2696177","CNK",196,NA,NA,NA,NA,NA,NA,NA
"2710333","CNK",196,NA,NA,NA,NA,NA,NA,NA
"2866457","CNK",196,NA,"Bisoprolol Mylan 10 mg filmomh. tabl._Bisoprolol Viatris  10 mg filmomh. tabl.",NA,"C07AB07",NA,"ATC(Non-Standard)",NA
"2915163","CNK",196,NA,"Quetiapine Apotex 200 mg filmomh. tabl.",NA,"N05AH04",NA,"ATC(Non-Standard)",NA
"3414901","CNK",196,NA,NA,NA,NA,NA,NA,NA
"3426475","CNK",196,NA,"Anafranil Retard Divitabs 75 mg (Impexeco) tabl. verl. afgifte",NA,"N06AA04",NA,"ATC(Non-Standard)",NA
"4178901","CNK",196,NA,"Abilify 15 mg tabl.",NA,"N05AX12",NA,"ATC(Non-Standard)",NA
"4497426","CNK",196,NA,"Olmesartan AB 20 mg filmomh. tabl.",NA,"C09CA08",NA,"ATC(Non-Standard)",NA
"58343C.B","MEDIDOC",196,NA,"ANF (aspect 1)",NA,NA,NA,NA,NA
"A26.9","ICD10",196,"ICD10 code","Erysipeloid, unspecified","valid","400105005","Erysipeloid","SNOMED","cdm_v5_20240830"
"C15.9","ICD10",196,"ICD10 code","Malignant neoplasm: Oesophagus, unspecified","valid","371984007","Primary malignant neoplasm of esophagus","SNOMED","cdm_v5_20240830"
"D28","ICPC2",196,NA,"Functiebeperking/handicap (D)",NA,NA,NA,NA,NA
"J32.3","ICD10",196,"ICD10 code","Chronic sphenoidal sinusitis","valid","38961000","Chronic sphenoidal sinusitis","SNOMED","cdm_v5_20240830"
"T67.1","ICD10",196,"ICD10 code","Heat syncope","valid","89797005","Heat syncope","SNOMED","cdm_v5_20240830"
"0390542","CNK",195,NA,NA,NA,NA,NA,NA,NA
"0735357","CNK",195,NA,"Diflucan 150 mg harde caps.",NA,"J02AC01",NA,"ATC(Non-Standard)",NA
"0767020","CNK",195,NA,"Seretide Diskus 50 µg/dosis - 250 µg/dosis inhalatiepdr. (voorverdeeld)",NA,"R03AK06",NA,"ATC(Non-Standard)",NA
"1101609","CNK",195,NA,"Risperdal 4 mg filmomh. tabl.",NA,"N05AX08",NA,"ATC(Non-Standard)",NA
"13829C.B","MEDIDOC",195,NA,"LE-cel",NA,NA,NA,NA,NA
"1525989","CNK",195,NA,NA,NA,NA,NA,NA,NA
"1584747","CNK",195,NA,NA,NA,NA,NA,NA,NA
"1764596","CNK",195,NA,"Levitra 10 mg filmomh. tabl.",NA,"G04BE09",NA,"ATC(Non-Standard)",NA
"1784131","CNK",195,NA,"Tramadol Sandoz 150 mg tabl. verl. afgifte",NA,"N02AX02",NA,"ATC(Non-Standard)",NA
"2488799","CNK",195,NA,NA,NA,NA,NA,NA,NA
"2825057","CNK",195,NA,"Lyrica 300 mg harde caps.",NA,"N02BF02 ",NA,"ATC(Non-Standard)",NA
"2882058","CNK",195,NA,"Armunia 20 0.02 mg - 3 mg filmomh. tabl.",NA,"G03AA12",NA,"ATC(Non-Standard)",NA
"3151172","CNK",195,NA,"Neurontin 800 mg (PI Pharma) filmomh. tabl.",NA,"N02BF01 ",NA,"ATC(Non-Standard)",NA
"3216769","CNK",195,NA,NA,NA,NA,NA,NA,NA
"3252103","CNK",195,NA,"Contramal 100 mg/ml (Impexeco) druppels opl. dos. pomp",NA,"N02AX02",NA,"ATC(Non-Standard)",NA
"3404316","CNK",195,NA,"Urocystil filmomh. tabl.",NA,"J01",NA,"ATC(Non-Standard)",NA
"3979473","CNK",195,NA,"Intrarosa 6,5 mg ovule",NA,"G03XX01",NA,"ATC(Non-Standard)",NA
"4112108","CNK",195,NA,NA,NA,NA,NA,NA,NA
"44335B.B","MEDIDOC",195,NA,"Prostaatzure fosfatase (RIA)",NA,NA,NA,NA,NA
"D16.-","ICD10",195,NA,NA,NA,NA,NA,NA,NA
"E06.0","ICD10",195,"ICD10 code","Acute thyroiditis","valid","190293001","Acute thyroiditis","SNOMED","cdm_v5_20240830"
"H15.8","ICD10",195,"ICD10 code","Other disorders of sclera","valid","33064008","Disorder of sclera","SNOMED","cdm_v5_20240830"
"I45.2","ICD10",195,"ICD10 code","Bifascicular block","valid","74021003","Bifascicular block","SNOMED","cdm_v5_20240830"
"K86.8","ICD10",195,"ICD10 code","Other specified diseases of pancreas","valid","3855007","Disorder of pancreas","SNOMED","cdm_v5_20240830"
"00030C.B","MEDIDOC",194,NA,"Genetische testen",NA,NA,NA,NA,NA
"0117564","CNK",194,NA,NA,NA,NA,NA,NA,NA
"0458109","CNK",194,NA,"Telebrix Gastro 300 mg I/ml or./rect. opl.",NA,"V08AA05",NA,"ATC(Non-Standard)",NA
"1722511","CNK",194,NA,NA,NA,NA,NA,NA,NA
"2308294","CNK",194,NA,NA,NA,NA,NA,NA,NA
"2439842","CNK",194,NA,NA,NA,NA,NA,NA,NA
"2445393","CNK",194,NA,"Fentanyl Matrix Sandoz 50 µg/h transderm. pleister sachet",NA,"N02AB03",NA,"ATC(Non-Standard)",NA
"2459873","CNK",194,NA,NA,NA,NA,NA,NA,NA
"2909265","CNK",194,NA,"Irbesartan EG 150 mg filmomh. tabl.",NA,"C09CA04",NA,"ATC(Non-Standard)",NA
"3189685","CNK",194,NA,"Daphne Continu 2 mg - 0,035 mg tabl.",NA,"G03HB01",NA,"ATC(Non-Standard)",NA
"3569092","CNK",194,NA,"Tadalafil Teva 20 mg filmomh. tabl.",NA,"G04BE08",NA,"ATC(Non-Standard)",NA
"3968625","CNK",194,NA,NA,NA,NA,NA,NA,NA
"4408944","CNK",194,NA,"Macrogol AB 10 g or. opl. (pdr.) sachet",NA,"A06AD15",NA,"ATC(Non-Standard)",NA
"4484788","CNK",194,NA,"Ezetimibe/Atorvastatin Sandoz 10 mg - 10 mg filmomh. tabl.",NA,"C10BA05",NA,"ATC(Non-Standard)",NA
"57203E.B","MEDIDOC",194,NA,"Histidine",NA,"20645-8","Histidine (serum/plasma) - in moles/volume","LOINC","retam_table_032022"
"63121C.C","MEDIDOC",194,NA,"Herpes simplex CSV (PCR)",NA,NA,NA,NA,NA
"I63.5","ICD10",194,"ICD10 code","Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries","valid","432504007","Cerebral infarction","SNOMED","cdm_v5_20240830"
"L44.9","ICD10",194,"ICD10 code","Papulosquamous disorder, unspecified","valid","22585003","Papulosquamous dermatosis","SNOMED","cdm_v5_20240830"
"M8211/0","ICD10",194,NA,NA,NA,NA,NA,NA,NA
"R29.1","ICD10",194,"ICD10 code","Meningismus","valid","70784009","Meningeal irritation","SNOMED","cdm_v5_20240830"
"R93.2","ICD10",194,"ICD10 code","Abnormal findings on diagnostic imaging of liver and biliary tract","valid","441987005","Imaging of abdomen","SNOMED","cdm_v5_20240830"
"S61.1","ICD10",194,"ICD10 code","Open wound of finger(s) with damage to nail","valid","125653000, 275320004","Open wound of finger, Injury of nail","SNOMED","cdm_v5_20240830"
"T85.8","ICD10",194,"ICD10 code","Other complications of internal prosthetic devices, implants and grafts, not elsewhere classified","valid","69260008","Complication of internal prosthetic device","SNOMED","cdm_v5_20240830"
"U77","ICPC2",194,NA,"Andere maligniteit urinewegen",NA,NA,NA,NA,NA
"Z41.9","ICD10",194,"ICD10 code","Procedure for purposes other than remedying health state, unspecified","valid","308335008","Patient encounter procedure","SNOMED","cdm_v5_20240830"
"*37.23","ICPC2",193,NA,NA,NA,NA,NA,NA,NA
"0060962","CNK",193,NA,NA,NA,NA,NA,NA,NA
"1373323","CNK",193,NA,NA,NA,NA,NA,NA,NA
"1389063","CNK",193,NA,"Diclofenac Teva 100 mg zetpil",NA,"M01AB05",NA,"ATC(Non-Standard)",NA
"1415322","CNK",193,NA,"Xeloda 500 mg tabl.",NA,"L01BC06",NA,"ATC(Non-Standard)",NA
"1764489","CNK",193,NA,NA,NA,NA,NA,NA,NA
"2043255","CNK",193,NA,NA,NA,NA,NA,NA,NA
"2409514","CNK",193,NA,NA,NA,NA,NA,NA,NA
"2596914","CNK",193,NA,"Desmopressine Teva 0,2 mg tabl.",NA,"H01BA02",NA,"ATC(Non-Standard)",NA
"2906444","CNK",193,NA,"Galantamin Sandoz 16 mg harde caps. verl. afgifte",NA,"N06DA04",NA,"ATC(Non-Standard)",NA
"2935781","CNK",193,NA,"Aciclovir Teva Labialis 50 mg/g crème",NA,"D06BB03",NA,"ATC(Non-Standard)",NA
"3049590","CNK",193,NA,"Strattera 100 mg harde caps.",NA,"N06BA09",NA,"ATC(Non-Standard)",NA
"3070406","CNK",193,NA,"Exacyl 500 mg/5 ml inj. opl. i.v. amp.",NA,"B02AA02",NA,"ATC(Non-Standard)",NA
"3150265","CNK",193,NA,NA,NA,NA,NA,NA,NA
"3413242","CNK",193,NA,NA,NA,NA,NA,NA,NA
"3779618","CNK",193,NA,"Flutiform K-haler 125 µg/dose - 5 µg/dose dosisaerosol susp. inhalator",NA,"R03AK11",NA,"ATC(Non-Standard)",NA
"4106910","CNK",193,NA,"Nucala 100 mg inj. opl. s.c. voorgev. pen",NA,"R03DX09",NA,"ATC(Non-Standard)",NA
"4117867","CNK",193,NA,"Etoricoxib AB 120 mg filmomh. tabl.",NA,"M01AH05",NA,"ATC(Non-Standard)",NA
"4200713","CNK",193,NA,"Peramteva 10 mg - 5 mg tabl.",NA,"C09BB04",NA,"ATC(Non-Standard)",NA
"4201885","CNK",193,NA,"Januvia 100 mg filmomh. tabl.",NA,"A10BH01",NA,"ATC(Non-Standard)",NA
"58343F.B","MEDIDOC",193,NA,"ANF (titer 1)",NA,NA,NA,NA,NA
"63025L.B","MEDIDOC",193,NA,"Base-excess veneus",NA,NA,NA,NA,NA
"63062G.A","MEDIDOC",193,NA,"B.K. kultuur 6 weken",NA,NA,NA,NA,NA
"8041204","CNK",193,NA,NA,NA,NA,NA,NA,NA
"F50.3","ICD10",193,"ICD10 code","Atypical bulimia nervosa","valid","231523004","Atypical bulimia nervosa","SNOMED","cdm_v5_20240830"
"G25.3","ICD10",193,"ICD10 code","Myoclonus","valid","17450006","Myoclonus","SNOMED","cdm_v5_20240830"
"N28.0","ICD10",193,"ICD10 code","Ischaemia and infarction of kidney","valid","735474009","Ischemia of kidney","SNOMED","cdm_v5_20240830"
"R52.0","ICD10",193,"ICD10 code","Acute pain","valid","274663001","Acute pain","SNOMED","cdm_v5_20240830"
"1154749","CNK",192,NA,"Codeinesiroop met Eucalyptolsmaak Conforma 2,67 mg/ml siroop",NA,"R05DA",NA,"ATC(Non-Standard)",NA
"1446905","CNK",192,NA,NA,NA,NA,NA,NA,NA
"1484955","CNK",192,NA,NA,NA,NA,NA,NA,NA
"20040A.B","MEDIDOC",192,NA,"Huisstof Ag",NA,NA,NA,NA,NA
"2252005","CNK",192,NA,"Sertraline Sandoz 100 mg filmomh. tabl.",NA,"N06AB06",NA,"ATC(Non-Standard)",NA
"2354439","CNK",192,NA,NA,NA,NA,NA,NA,NA
"2905990","CNK",192,NA,NA,NA,NA,NA,NA,NA
"3030137","CNK",192,NA,"Priligy 30 mg filmomh. tabl.",NA,"G04BX14",NA,"ATC(Non-Standard)",NA
"3147402","CNK",192,NA,"Sertraline Apotex 100 mg filmomh. tabl.",NA,"N06AB06",NA,"ATC(Non-Standard)",NA
"58411B.B","MEDIDOC",192,NA,"Salmonella agglutinines O",NA,NA,NA,NA,NA
"63031X.B","MEDIDOC",192,NA,"Serologie hepatitis : besluiten",NA,NA,NA,NA,NA
"D80.1","ICD10",192,"ICD10 code","Nonfamilial hypogammaglobulinaemia","valid","119250001","Hypogammaglobulinemia","SNOMED","cdm_v5_20240830"
"F94.1","ICD10",192,"ICD10 code","Reactive attachment disorder of childhood","valid","44124003","Reactive attachment disorder of early childhood","SNOMED","cdm_v5_20240830"
"G82.5","ICD10",192,"ICD10 code","Tetraplegia, unspecified","valid","11538006","Tetraplegia","SNOMED","cdm_v5_20240830"
"K802","ICD10",192,NA,NA,NA,NA,NA,NA,NA
"0113407","CNK",191,NA,NA,NA,NA,NA,NA,NA
"0324210","CNK",191,NA,"Nicorette 15 mg transderm. pleister",NA,"N07BA01",NA,"ATC(Non-Standard)",NA
"0379826","CNK",191,NA,NA,NA,NA,NA,NA,NA
"0588517","CNK",191,NA,NA,NA,NA,NA,NA,NA
"0807032","CNK",191,NA,"Convulex 300 mg harde maagsapresist. caps.",NA,"N03AG01",NA,"ATC(Non-Standard)",NA
"1416478","CNK",191,NA,NA,NA,NA,NA,NA,NA
"2070712","CNK",191,NA,NA,NA,NA,NA,NA,NA
"2623783","CNK",191,NA,"Paroxetine EG 40 mg tabl.",NA,"N06AB05",NA,"ATC(Non-Standard)",NA
"2748127","CNK",191,NA,"Lercanidipine Teva 20 mg filmomh. tabl.",NA,"C08CA13",NA,"ATC(Non-Standard)",NA
"3067931","CNK",191,NA,"Denise 30 150 µg - 30 µg tabl.",NA,"G03AA09",NA,"ATC(Non-Standard)",NA
"3073293","CNK",191,NA,"Paracetamol Sandoz 500 mg tabl.",NA,"N02BE01",NA,"ATC(Non-Standard)",NA
"3163128","CNK",191,NA,"Activelle 1 mg - 0,5 mg (Impexeco) filmomh. tabl.",NA,"G03FA01",NA,"ATC(Non-Standard)",NA
"3235611","CNK",191,NA,NA,NA,NA,NA,NA,NA
